User ID,Longeivity,Length of screen name,Does the profile have a description,Length of the description,Does the profile have a URL,Followee count of the user,Follower count of the user,Followee-by-follower ratio,Klout Score,Total number of tweets,Number of direct mentions per tweet,Number of URLs per tweet,Number of hashtags per tweet,Number of tweets per day,Number of re-tweets per day,Number of re-tweets per tweet,Botometer score,Tweeting likelihood for Monday,Tweeting likelihood for Tuesday,Tweeting likelihood for Wednesday,Tweeting likelihood for Thursday,Tweeting likelihood for Friday,Tweeting likelihood for Saturday,Tweeting likelihood for Sunday,Re-tweeting likelihood for Monday,Re-tweeting likelihood for Tuesday,Re-tweeting likelihood for Wednesday,Re-tweeting likelihood for Thursday,Re-tweeting likelihood for Friday,Re-tweeting likelihood for Saturday,Re-tweeting likelihood for Sunday,Regularity of tweeting activity for Monday,Regularity of tweeting activity for Tuesday,Regularity of tweeting activity for Wednesday,Regularity of tweeting activity for Thursday,Regularity of tweeting activity for Friday,Regularity of tweeting activity for Saturday,Regularity of tweeting activity for Sunday,Regularity of re-tweeting activity for Monday,Regularity of re-tweeting activity for Tuesday,Regularity of re-tweeting activity for Wednesday,Regularity of re-tweeting activity for Thursday,Regularity of re-tweeting activity for Friday,Regularity of re-tweeting activity for Saturday,Regularity of re-tweeting activity for Sunday,Tweet steadiness,Re-tweet steadiness,Maximum tweet likelihood for Monday,Maximum tweet likelihood for Tuesday,Maximum tweet likelihood for Wednesday,Maximum tweet likelihood for Thursday,Maximum tweet likelihood for Friday,Maximum tweet likelihood for Saturday,Maximum tweet likelihood for Sunday,Maximum re-tweet likelihood for Monday,Maximum re-tweet likelihood for Tuesday,Maximum re-tweet likelihood for Wednesday,Maximum re-tweet likelihood for Thursday,Maximum re-tweet likelihood for Friday,Maximum re-tweet likelihood for Saturday,Maximum re-tweet likelihood for Sunday,Standard deviation of retweet counts for all user-generated tweets,Mean of log-time difference between consecutive re-tweets,Standard deviation of log-time difference between consecutive re-tweets,"Annotation (0: Bot, 1: Normal customers, 2: Promotional customers, 3: Genuine users)"
10,112,13,1,65,1,0,3806,0.0,54.8767045057,97,0.0,0.34020618556701004,1.05154639175258,0.8660714285714292,69.0714285714286,79.75257731958759,0.47,0.27835051546391804,0.13402061855670094,0.16494845360824698,0.13402061855670094,0.11340206185566999,0.051546391752577005,0.12371134020618599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.90933729257161,-10.2273086716038,-16.3649557288898,-6.0684255882441125,-10.2273086716038,-1.38629436111989,-9.36426245424844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64361338216536e-06,0.0,1.0,0.4814814814814821,0.592592592592593,0.4814814814814821,0.407407407407407,0.185185185185185,0.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.77499655296685,0.28456628060577,1.07784834132919,2
11,783,11,1,136,1,7,27188,0.00025746652935099997,54.97491743720001,3200,0.1584375,0.925625,0.0009375,4.08684546615581,20.743295019157106,5.075625,0.43,0.1959375,0.20375,0.18125,0.19625,0.096875,0.0075,0.1184375,0.0,0.0,0.0003125,0.0,0.0,0.0,0.0,-2635.33073102023,-2664.2144879718803,-2489.27605303678,-2721.25662819243,-1050.7104848568902,-24.953298500158,-1733.54651811708,0.0,0.0,-3.29583686600433,0.0,0.0,0.0,0.0,4.17545933285317e-06,0.0,0.961656441717791,1.0,0.889570552147239,0.96319018404908,0.475460122699387,0.03680981595092,0.581288343558282,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.3003546717411,0.0202044439409,0.2562676740055561,1
12,965,15,1,22,1,489,1159,0.421915444348576,48.3544725353,1298,1.1856702619414499,0.040832049306626,0.38828967642527,1.3450777202072501,2075.26113989637,1542.8559322033898,0.29,0.110169491525424,0.212634822804314,0.158705701078582,0.18798151001540805,0.10708782742681,0.136363636363636,0.08705701078582401,0.101694915254237,0.19645608628659506,0.14869029275808898,0.174114021571649,0.091679506933744,0.11787365177195698,0.077812018489985,-303.705059187709,-744.020530286359,-512.215548524776,-675.5164788596401,-287.781483497389,-406.77264285247804,-211.646537221334,-346.127368701414,-788.93017840866,-552.565737249128,-699.6596807065871,-318.585127478595,-434.156522308786,-245.396936118166,0.0015336531331840001,0.0015336531331840001,0.5181159420289849,1.0,0.746376811594203,0.8840579710144929,0.503623188405797,0.641304347826087,0.4094202898550721,0.5176470588235289,1.0,0.7568627450980391,0.8862745098039209,0.4666666666666671,0.6,0.396078431372549,6050.68862538307,1.57729149878963,1.59453683792924,2
13,2171,7,1,35,0,612,1761,0.34752981260647403,50.432549888100006,3076,1.1908322496749,0.22366710013003896,0.287711313394018,1.41685859051129,2120.30999539383,1496.4866710013,0.34,0.113133940182055,0.156697009102731,0.137516254876463,0.152470741222367,0.193107932379714,0.14239271781534502,0.104681404421326,0.08485045513654099,0.1277633289987,0.110858257477243,0.123537061118336,0.15149544863459,0.102730819245774,0.07867360208062403,-1066.17307236111,-1650.0117944703,-1310.9683469941301,-1564.2070202770599,-2102.3153116769395,-1394.7982376967402,-921.3202272769188,-1126.33700599605,-1707.45460898416,-1377.6698050793,-1632.19423361333,-2121.82088986397,-1468.00010762703,-993.386947403308,1.5496481290609602e-05,1.19444344350852e-06,0.5858585858585861,0.811447811447811,0.712121212121212,0.78956228956229,1.0,0.7373737373737371,0.5420875420875421,0.5600858369098709,0.843347639484978,0.731759656652361,0.8154506437768241,1.0,0.6781115879828329,0.51931330472103,8626.84270661479,1.9812700745327696,2.35008152377259,2
14,3191,13,1,146,1,88,625,0.1408,44.03144519,3200,0.5959375,0.0421875,0.229375,1.0028204324663101,966.470698840489,963.7525,0.22,0.17,0.1284375,0.150625,0.11875,0.135625,0.143125,0.1534375,0.015625,0.0109375,0.0125,0.0178125,0.0125,0.0159375,0.0121875,-1835.80534441345,-1286.16478807055,-1576.2389062719901,-1167.70241610946,-1358.029735733,-1487.60954064894,-1605.1492723290698,-1382.67736264638,-635.925790790911,-968.4348278194079,-808.561577274393,-798.784130856611,-882.8802632753461,-1121.30071827763,8.815645580405959e-05,1.01427836918663e-05,1.0,0.755514705882353,0.886029411764706,0.6985294117647061,0.7977941176470591,0.841911764705882,0.902573529411765,0.8771929824561401,0.614035087719298,0.701754385964912,1.0,0.701754385964912,0.8947368421052628,0.6842105263157899,9932.68687522383,0.163726060694801,1.02311611635287,2
15,1004,15,1,46,1,5919,27794,0.21295963157515999,46.2210982956,3187,1.23941010354565,0.42767492940068996,0.6165673046752429,3.17430278884462,3.90737051792829,1.23093818638218,0.59,0.143708817069344,0.11044869783495401,0.08252274866645799,0.13021650454973302,0.11735174144963904,0.14496391590837804,0.270787574521494,0.07028553498588,0.070913084405397,0.044869783495450004,0.047066206463759,0.071226859115155,0.064010040790712,0.07812990272984,-1657.7926822944198,-1157.87590928906,-835.757860432312,-1397.65793810898,-1258.7343739669802,-1514.2792517694595,-3498.7110324900605,-1380.8761934831302,-935.397435464621,-715.3681605533037,-1088.38555370522,-1171.96195179247,-892.547662684514,-1649.12119019099,1.14976963718444e-05,1.14976963718444e-05,0.530706836616454,0.407879490150637,0.304750869061414,0.4808806488991889,0.43337195828505204,0.535341830822711,1.0,0.8995983935742969,0.907630522088353,0.57429718875502,0.602409638554217,0.911646586345381,0.8192771084337349,1.0,9.94496985012999,0.118869775209436,0.388118913231304,2
16,718,15,1,160,0,9183,11476,0.8001917044266291,55.228817893599995,3200,0.0003125,0.7634375,0.018125,4.45682451253482,0.40250696378830103,0.0903125,0.74,0.153125,0.1371875,0.1625,0.2096875,0.1828125,0.0790625,0.075625,0.0003125,0.0,0.0,0.0,0.0,0.0,0.0,-1523.01819494626,-1317.3889870686698,-1637.4457059908402,-2259.96357914763,-1904.0408278197501,-620.666214155502,-575.917792576565,-23.0258509299405,0.0,0.0,0.0,0.0,0.0,0.0,0.000818735982656,0.0,0.730253353204173,0.6542473919523101,0.7749627421758571,1.0,0.8718330849478391,0.377049180327869,0.3606557377049179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18349747170368,0.0,0.0,0
17,602,10,1,149,1,8545,11802,0.724029825453313,47.5628316067,1217,0.9909613804437141,1.94658997534922,0.013968775677896998,2.02159468438538,0.37043189368770796,0.183237469186524,0.72,0.136400986031224,0.139687756778965,0.136400986031224,0.155299917830731,0.14461791290057502,0.14379622021364002,0.14379622021364002,0.0,0.0,0.0016433853738699999,0.0016433853738699999,0.0,0.0,0.0,-409.18004332434,-425.818339483038,-402.288729089952,-466.75440331989006,-434.168806168,-438.94317976339994,-438.222306674807,0.0,0.0,-12.1368511764882,-12.1368511764882,0.0,0.0,0.0,4.07625240438934e-07,1.58578904963652e-07,0.8783068783068779,0.8994708994709,0.8783068783068779,1.0,0.9312169312169308,0.9259259259259259,0.9259259259259259,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.96987587814906,0.01338421730263,0.14752674213191194,0
18,1742,5,1,46,0,4,1028,0.003891050583658,44.21395150359999,102,0.156862745098039,0.009803921568626998,0.127450980392157,0.058553386911595985,0.686567164179104,11.7254901960784,0.44,0.107843137254902,0.166666666666667,0.20588235294117604,0.07843137254902001,0.127450980392157,0.166666666666667,0.147058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0471895621705,-6.0684255882441125,-10.2273086716038,-1.38629436111989,-6.0684255882441125,-4.68213122712422,-8.84101431048389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09370290678621e-07,0.0,0.523809523809524,0.80952380952381,1.0,0.3809523809523809,0.6190476190476191,0.80952380952381,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.314708565455398,0.411752480417106,0.6648538220332071,1
19,1619,13,1,97,1,96,81569,0.001176917701578,57.581821564799995,81,0.283950617283951,0.012345679012346,0.061728395061727996,0.050030883261272,2.96602841260037,59.283950617284,0.42,0.135802469135802,0.160493827160494,0.061728395061727996,0.08641975308642,0.30864197530864196,0.12345679012345698,0.12345679012345698,0.012345679012346,0.0,0.0,0.0,0.037037037037037,0.0,0.0,-2.77258872223978,-10.2273086716038,-1.38629436111989,-1.38629436111989,-19.931369199443,-1.38629436111989,-1.38629436111989,-1.38629436111989,0.0,0.0,0.0,-4.68213122712422,0.0,0.0,2.8279749917966997e-05,6.22285722786658e-06,0.44,0.52,0.2,0.28,1.0,0.4,0.4,0.33333333333333304,0.0,0.0,0.0,1.0,0.0,0.0,314.882860232727,1.4374923156088701,1.31173422129091,1
