User ID,Longeivity,Length of screen name,Does the profile have a description,Length of the description,Does the profile have a URL,Followee count of the user,Follower count of the user,Followee-by-follower ratio,Klout Score,Total number of tweets,Number of direct mentions per tweet,Number of URLs per tweet,Number of hashtags per tweet,Number of tweets per day,Number of re-tweets per day,Number of re-tweets per tweet,Botometer score,Tweeting likelihood for Monday,Tweeting likelihood for Tuesday,Tweeting likelihood for Wednesday,Tweeting likelihood for Thursday,Tweeting likelihood for Friday,Tweeting likelihood for Saturday,Tweeting likelihood for Sunday,Re-tweeting likelihood for Monday,Re-tweeting likelihood for Tuesday,Re-tweeting likelihood for Wednesday,Re-tweeting likelihood for Thursday,Re-tweeting likelihood for Friday,Re-tweeting likelihood for Saturday,Re-tweeting likelihood for Sunday,Regularity of tweeting activity for Monday,Regularity of tweeting activity for Tuesday,Regularity of tweeting activity for Wednesday,Regularity of tweeting activity for Thursday,Regularity of tweeting activity for Friday,Regularity of tweeting activity for Saturday,Regularity of tweeting activity for Sunday,Regularity of re-tweeting activity for Monday,Regularity of re-tweeting activity for Tuesday,Regularity of re-tweeting activity for Wednesday,Regularity of re-tweeting activity for Thursday,Regularity of re-tweeting activity for Friday,Regularity of re-tweeting activity for Saturday,Regularity of re-tweeting activity for Sunday,Tweet steadiness,Re-tweet steadiness,Maximum tweet likelihood for Monday,Maximum tweet likelihood for Tuesday,Maximum tweet likelihood for Wednesday,Maximum tweet likelihood for Thursday,Maximum tweet likelihood for Friday,Maximum tweet likelihood for Saturday,Maximum tweet likelihood for Sunday,Maximum re-tweet likelihood for Monday,Maximum re-tweet likelihood for Tuesday,Maximum re-tweet likelihood for Wednesday,Maximum re-tweet likelihood for Thursday,Maximum re-tweet likelihood for Friday,Maximum re-tweet likelihood for Saturday,Maximum re-tweet likelihood for Sunday,Standard deviation of retweet counts for all user-generated tweets,Mean of log-time difference between consecutive re-tweets,Standard deviation of log-time difference between consecutive re-tweets,"Annotation (0: Bot, 1: Normal customers, 2: Promotional customers, 3: Genuine users)"
10,112,13,1,65,1,0,3806,0.0,54.8767045057,97,0.0,0.3402061855670103,1.0515463917525774,0.8660714285714286,69.07142857142857,79.75257731958762,0.47,0.27835051546391754,0.13402061855670105,0.16494845360824742,0.13402061855670105,0.1134020618556701,0.05154639175257732,0.12371134020618554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.909337292571568,-10.227308671603783,-16.364955728889846,-6.068425588244112,-10.227308671603783,-1.3862943611198906,-9.36426245424844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.643613382165355e-06,0.0,1.0,0.4814814814814815,0.5925925925925926,0.4814814814814815,0.4074074074074074,0.1851851851851852,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.77499655296725,0.28456628060576983,1.0778483413291864,2
11,783,11,1,136,1,7,27188,0.0002574665293511844,54.974917437200006,3200,0.1584375,0.925625,0.0009375,4.086845466155811,20.743295019157085,5.075625,0.43,0.1959375,0.20375,0.18125,0.19625,0.096875,0.0075,0.1184375,0.0,0.0,0.0003125,0.0,0.0,0.0,0.0,-2635.330731020228,-2664.2144879718758,-2489.2760530367777,-2721.256628192433,-1050.710484856888,-24.953298500158034,-1733.5465181170846,0.0,0.0,-3.2958368660043287,0.0,0.0,0.0,0.0,4.17545933285317e-06,0.0,0.9616564417177914,1.0,0.8895705521472393,0.96319018404908,0.4754601226993865,0.03680981595092025,0.5812883435582823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.300354671741122,0.020204443940900103,0.2562676740055564,1
12,965,15,1,22,1,489,1159,0.4219154443485764,48.3544725353,1298,1.1856702619414483,0.04083204930662557,0.3882896764252696,1.3450777202072544,2075.261139896373,1542.8559322033898,0.29,0.11016949152542373,0.21263482280431434,0.15870570107858242,0.18798151001540836,0.10708782742681047,0.13636363636363635,0.08705701078582434,0.1016949152542373,0.19645608628659475,0.14869029275808934,0.17411402157164868,0.09167950693374424,0.11787365177195686,0.07781201848998459,-303.7050591877089,-744.0205302863586,-512.2155485247757,-675.5164788596401,-287.7814834973893,-406.7726428524783,-211.64653722133403,-346.1273687014138,-788.93017840866,-552.5657372491277,-699.6596807065871,-318.585127478595,-434.15652230878607,-245.39693611816605,0.0015336531331837894,0.0015336531331837894,0.5181159420289855,1.0,0.7463768115942028,0.8840579710144928,0.503623188405797,0.6413043478260869,0.4094202898550725,0.5176470588235295,1.0,0.7568627450980393,0.8862745098039215,0.4666666666666667,0.6,0.39607843137254906,6050.688625383065,1.5772914987896258,1.5945368379292408,2
13,2171,7,1,35,0,612,1761,0.3475298126064736,50.432549888100006,3076,1.1908322496749024,0.223667100130039,0.28771131339401823,1.4168585905112852,2120.309995393828,1496.4866710013005,0.34,0.1131339401820546,0.15669700910273082,0.13751625487646293,0.1524707412223667,0.1931079323797139,0.1423927178153446,0.1046814044213264,0.08485045513654096,0.1277633289986996,0.11085825747724318,0.1235370611183355,0.1514954486345904,0.10273081924577374,0.07867360208062417,-1066.1730723611129,-1650.0117944703027,-1310.968346994133,-1564.2070202770624,-2102.3153116769377,-1394.7982376967393,-921.3202272769192,-1126.3370059960464,-1707.4546089841608,-1377.6698050793,-1632.1942336133307,-2121.8208898639677,-1468.0001076270275,-993.3869474033077,1.549648129060959e-05,1.1944434435085244e-06,0.5858585858585859,0.8114478114478115,0.7121212121212122,0.7895622895622896,1.0,0.7373737373737373,0.5420875420875421,0.5600858369098712,0.8433476394849785,0.7317596566523605,0.8154506437768241,1.0,0.6781115879828326,0.51931330472103,8626.84270661479,1.981270074532769,2.3500815237725887,2
14,3191,13,1,146,1,88,625,0.1408,44.03144519,3200,0.5959375,0.0421875,0.229375,1.0028204324663117,966.4706988404887,963.7525,0.22,0.17,0.1284375,0.150625,0.11875,0.135625,0.143125,0.1534375,0.015625,0.0109375,0.0125,0.0178125,0.0125,0.0159375,0.0121875,-1835.8053444134484,-1286.1647880705546,-1576.2389062719874,-1167.7024161094573,-1358.0297357330005,-1487.6095406489442,-1605.1492723290744,-1382.677362646384,-635.9257907909107,-968.4348278194084,-808.5615772743927,-798.7841308566112,-882.8802632753462,-1121.3007182776248,8.815645580405959e-05,1.0142783691866292e-05,1.0,0.7555147058823529,0.8860294117647058,0.6985294117647058,0.7977941176470588,0.8419117647058824,0.9025735294117648,0.8771929824561404,0.6140350877192983,0.7017543859649124,1.0,0.7017543859649124,0.8947368421052633,0.6842105263157896,9932.68687522383,0.16372606069480072,1.023116116352873,2
15,1004,15,1,46,1,5919,27794,0.2129596315751601,46.2210982956,3187,1.2394101035456542,0.4276749294006903,0.6165673046752431,3.1743027888446216,3.907370517928287,1.2309381863821776,0.59,0.1437088170693442,0.1104486978349545,0.08252274866645748,0.1302165045497333,0.11735174144963915,0.1449639159083778,0.27078757452149355,0.07028553498588014,0.07091308440539693,0.04486978349545027,0.047066206463759024,0.07122685911515532,0.06401004079071226,0.07812990272983998,-1657.7926822944212,-1157.8759092890584,-835.7578604323122,-1397.657938108979,-1258.7343739669834,-1514.2792517694613,-3498.7110324900627,-1380.8761934831339,-935.3974354646208,-715.3681605533044,-1088.3855537052198,-1171.9619517924664,-892.5476626845135,-1649.1211901909937,1.1497696371844376e-05,1.1497696371844376e-05,0.5307068366164542,0.40787949015063735,0.3047508690614137,0.4808806488991889,0.43337195828505215,0.5353418308227115,1.0,0.8995983935742972,0.9076305220883534,0.57429718875502,0.6024096385542168,0.9116465863453814,0.8192771084337348,1.0,9.94496985012999,0.11886977520943645,0.38811891323130415,2
16,718,15,1,160,0,9183,11476,0.8001917044266295,55.228817893599995,3200,0.0003125,0.7634375,0.018125,4.456824512534818,0.4025069637883008,0.0903125,0.74,0.153125,0.1371875,0.1625,0.2096875,0.1828125,0.0790625,0.075625,0.0003125,0.0,0.0,0.0,0.0,0.0,0.0,-1523.0181949462626,-1317.3889870686687,-1637.4457059908434,-2259.963579147629,-1904.040827819752,-620.6662141555022,-575.9177925765651,-23.02585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0008187359826557296,0.0,0.730253353204173,0.6542473919523101,0.7749627421758569,1.0,0.8718330849478391,0.3770491803278688,0.3606557377049181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.183497471703684,0.0,0.0,0
17,602,10,1,149,1,8545,11802,0.724029825453313,47.5628316067,1217,0.990961380443714,1.9465899753492195,0.013968775677896469,2.021594684385382,0.3704318936877076,0.18323746918652425,0.72,0.13640098603122433,0.13968775677896467,0.13640098603122433,0.1552999178307313,0.1446179129005752,0.1437962202136401,0.1437962202136401,0.0,0.0,0.0016433853738701725,0.0016433853738701725,0.0,0.0,0.0,-409.1800433243404,-425.818339483038,-402.28872908995237,-466.75440331989023,-434.16880616799966,-438.94317976339966,-438.2223066748069,0.0,0.0,-12.136851176488221,-12.136851176488221,0.0,0.0,0.0,4.076252404389339e-07,1.5857890496365194e-07,0.8783068783068784,0.8994708994708995,0.8783068783068784,1.0,0.9312169312169312,0.9259259259259259,0.9259259259259259,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.969875878149064,0.013384217302630362,0.1475267421319119,0
18,1742,5,1,46,0,4,1028,0.0038910505836575885,44.21395150359999,102,0.1568627450980392,0.00980392156862745,0.12745098039215685,0.058553386911595874,0.6865671641791045,11.725490196078429,0.44,0.10784313725490197,0.16666666666666666,0.2058823529411765,0.0784313725490196,0.12745098039215685,0.16666666666666666,0.14705882352941174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.047189562170503,-6.068425588244112,-10.22730867160378,-1.3862943611198906,-6.068425588244112,-4.68213122712422,-8.841014310483892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093702906786213e-07,0.0,0.5238095238095238,0.8095238095238095,1.0,0.38095238095238104,0.6190476190476191,0.8095238095238095,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.314708565455362,0.4117524804171064,0.6648538220332075,1
19,1619,13,1,97,1,96,81569,0.0011769177015778054,57.581821564799995,81,0.2839506172839506,0.012345679012345678,0.061728395061728385,0.05003088326127239,2.9660284126003704,59.283950617283956,0.42,0.13580246913580246,0.16049382716049382,0.061728395061728385,0.08641975308641975,0.308641975308642,0.12345679012345677,0.12345679012345677,0.012345679012345678,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,-2.772588722239781,-10.227308671603783,-1.3862943611198906,-1.3862943611198906,-19.93136919944301,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,0.0,0.0,0.0,-4.68213122712422,0.0,0.0,2.8279749917967017e-05,6.22285722786658e-06,0.44,0.52,0.2,0.28,1.0,0.4,0.4,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,314.88286023272724,1.437492315608873,1.3117342212909062,1
